study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10900858,s3://era-public/fastq/ERR109/058/ERR10900858/ERR10900858_1.fastq.gz,s3://era-public/fastq/ERR109/058/ERR10900858/ERR10900858_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900859,s3://era-public/fastq/ERR109/059/ERR10900859/ERR10900859_1.fastq.gz,s3://era-public/fastq/ERR109/059/ERR10900859/ERR10900859_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900860,s3://era-public/fastq/ERR109/060/ERR10900860/ERR10900860_1.fastq.gz,s3://era-public/fastq/ERR109/060/ERR10900860/ERR10900860_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900861,s3://era-public/fastq/ERR109/061/ERR10900861/ERR10900861_1.fastq.gz,s3://era-public/fastq/ERR109/061/ERR10900861/ERR10900861_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900863,s3://era-public/fastq/ERR109/063/ERR10900863/ERR10900863_1.fastq.gz,s3://era-public/fastq/ERR109/063/ERR10900863/ERR10900863_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900864,s3://era-public/fastq/ERR109/064/ERR10900864/ERR10900864_1.fastq.gz,s3://era-public/fastq/ERR109/064/ERR10900864/ERR10900864_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900865,s3://era-public/fastq/ERR109/065/ERR10900865/ERR10900865_1.fastq.gz,s3://era-public/fastq/ERR109/065/ERR10900865/ERR10900865_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900866,s3://era-public/fastq/ERR109/066/ERR10900866/ERR10900866_1.fastq.gz,s3://era-public/fastq/ERR109/066/ERR10900866/ERR10900866_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900868,s3://era-public/fastq/ERR109/068/ERR10900868/ERR10900868_1.fastq.gz,s3://era-public/fastq/ERR109/068/ERR10900868/ERR10900868_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900874,s3://era-public/fastq/ERR109/074/ERR10900874/ERR10900874_1.fastq.gz,s3://era-public/fastq/ERR109/074/ERR10900874/ERR10900874_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900881,s3://era-public/fastq/ERR109/081/ERR10900881/ERR10900881_1.fastq.gz,s3://era-public/fastq/ERR109/081/ERR10900881/ERR10900881_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900886,s3://era-public/fastq/ERR109/086/ERR10900886/ERR10900886_1.fastq.gz,s3://era-public/fastq/ERR109/086/ERR10900886/ERR10900886_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900888,s3://era-public/fastq/ERR109/088/ERR10900888/ERR10900888_1.fastq.gz,s3://era-public/fastq/ERR109/088/ERR10900888/ERR10900888_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900893,s3://era-public/fastq/ERR109/093/ERR10900893/ERR10900893_1.fastq.gz,s3://era-public/fastq/ERR109/093/ERR10900893/ERR10900893_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900894,s3://era-public/fastq/ERR109/094/ERR10900894/ERR10900894_1.fastq.gz,s3://era-public/fastq/ERR109/094/ERR10900894/ERR10900894_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900896,s3://era-public/fastq/ERR109/096/ERR10900896/ERR10900896_1.fastq.gz,s3://era-public/fastq/ERR109/096/ERR10900896/ERR10900896_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900897,s3://era-public/fastq/ERR109/097/ERR10900897/ERR10900897_1.fastq.gz,s3://era-public/fastq/ERR109/097/ERR10900897/ERR10900897_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900899,s3://era-public/fastq/ERR109/099/ERR10900899/ERR10900899_1.fastq.gz,s3://era-public/fastq/ERR109/099/ERR10900899/ERR10900899_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900907,s3://era-public/fastq/ERR109/007/ERR10900907/ERR10900907_1.fastq.gz,s3://era-public/fastq/ERR109/007/ERR10900907/ERR10900907_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900909,s3://era-public/fastq/ERR109/009/ERR10900909/ERR10900909_1.fastq.gz,s3://era-public/fastq/ERR109/009/ERR10900909/ERR10900909_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900910,s3://era-public/fastq/ERR109/010/ERR10900910/ERR10900910_1.fastq.gz,s3://era-public/fastq/ERR109/010/ERR10900910/ERR10900910_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900911,s3://era-public/fastq/ERR109/011/ERR10900911/ERR10900911_1.fastq.gz,s3://era-public/fastq/ERR109/011/ERR10900911/ERR10900911_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900922,s3://era-public/fastq/ERR109/022/ERR10900922/ERR10900922_1.fastq.gz,s3://era-public/fastq/ERR109/022/ERR10900922/ERR10900922_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900924,s3://era-public/fastq/ERR109/024/ERR10900924/ERR10900924_1.fastq.gz,s3://era-public/fastq/ERR109/024/ERR10900924/ERR10900924_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900925,s3://era-public/fastq/ERR109/025/ERR10900925/ERR10900925_1.fastq.gz,s3://era-public/fastq/ERR109/025/ERR10900925/ERR10900925_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900932,s3://era-public/fastq/ERR109/032/ERR10900932/ERR10900932_1.fastq.gz,s3://era-public/fastq/ERR109/032/ERR10900932/ERR10900932_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900933,s3://era-public/fastq/ERR109/033/ERR10900933/ERR10900933_1.fastq.gz,s3://era-public/fastq/ERR109/033/ERR10900933/ERR10900933_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900935,s3://era-public/fastq/ERR109/035/ERR10900935/ERR10900935_1.fastq.gz,s3://era-public/fastq/ERR109/035/ERR10900935/ERR10900935_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900937,s3://era-public/fastq/ERR109/037/ERR10900937/ERR10900937_1.fastq.gz,s3://era-public/fastq/ERR109/037/ERR10900937/ERR10900937_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900943,s3://era-public/fastq/ERR109/043/ERR10900943/ERR10900943_1.fastq.gz,s3://era-public/fastq/ERR109/043/ERR10900943/ERR10900943_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900944,s3://era-public/fastq/ERR109/044/ERR10900944/ERR10900944_1.fastq.gz,s3://era-public/fastq/ERR109/044/ERR10900944/ERR10900944_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900948,s3://era-public/fastq/ERR109/048/ERR10900948/ERR10900948_1.fastq.gz,s3://era-public/fastq/ERR109/048/ERR10900948/ERR10900948_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900950,s3://era-public/fastq/ERR109/050/ERR10900950/ERR10900950_1.fastq.gz,s3://era-public/fastq/ERR109/050/ERR10900950/ERR10900950_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900955,s3://era-public/fastq/ERR109/055/ERR10900955/ERR10900955_1.fastq.gz,s3://era-public/fastq/ERR109/055/ERR10900955/ERR10900955_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900957,s3://era-public/fastq/ERR109/057/ERR10900957/ERR10900957_1.fastq.gz,s3://era-public/fastq/ERR109/057/ERR10900957/ERR10900957_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900960,s3://era-public/fastq/ERR109/060/ERR10900960/ERR10900960_1.fastq.gz,s3://era-public/fastq/ERR109/060/ERR10900960/ERR10900960_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900961,s3://era-public/fastq/ERR109/061/ERR10900961/ERR10900961_1.fastq.gz,s3://era-public/fastq/ERR109/061/ERR10900961/ERR10900961_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900962,s3://era-public/fastq/ERR109/062/ERR10900962/ERR10900962_1.fastq.gz,s3://era-public/fastq/ERR109/062/ERR10900962/ERR10900962_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900963,s3://era-public/fastq/ERR109/063/ERR10900963/ERR10900963_1.fastq.gz,s3://era-public/fastq/ERR109/063/ERR10900963/ERR10900963_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900969,s3://era-public/fastq/ERR109/069/ERR10900969/ERR10900969_1.fastq.gz,s3://era-public/fastq/ERR109/069/ERR10900969/ERR10900969_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900976,s3://era-public/fastq/ERR109/076/ERR10900976/ERR10900976_1.fastq.gz,s3://era-public/fastq/ERR109/076/ERR10900976/ERR10900976_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900981,s3://era-public/fastq/ERR109/081/ERR10900981/ERR10900981_1.fastq.gz,s3://era-public/fastq/ERR109/081/ERR10900981/ERR10900981_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900982,s3://era-public/fastq/ERR109/082/ERR10900982/ERR10900982_1.fastq.gz,s3://era-public/fastq/ERR109/082/ERR10900982/ERR10900982_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900983,s3://era-public/fastq/ERR109/083/ERR10900983/ERR10900983_1.fastq.gz,s3://era-public/fastq/ERR109/083/ERR10900983/ERR10900983_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900985,s3://era-public/fastq/ERR109/085/ERR10900985/ERR10900985_1.fastq.gz,s3://era-public/fastq/ERR109/085/ERR10900985/ERR10900985_2.fastq.gz,paired,wgs,illumina
