study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10900580,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10900580/ERR10900580_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/080/ERR10900580/ERR10900580_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900582,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10900582/ERR10900582_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10900582/ERR10900582_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900585,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/085/ERR10900585/ERR10900585_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/085/ERR10900585/ERR10900585_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900595,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10900595/ERR10900595_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10900595/ERR10900595_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900601,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10900601/ERR10900601_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10900601/ERR10900601_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900605,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10900605/ERR10900605_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10900605/ERR10900605_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900607,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10900607/ERR10900607_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10900607/ERR10900607_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900609,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR10900609/ERR10900609_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR10900609/ERR10900609_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900619,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/019/ERR10900619/ERR10900619_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/019/ERR10900619/ERR10900619_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900622,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10900622/ERR10900622_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10900622/ERR10900622_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900626,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10900626/ERR10900626_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10900626/ERR10900626_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900631,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10900631/ERR10900631_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10900631/ERR10900631_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900633,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/033/ERR10900633/ERR10900633_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/033/ERR10900633/ERR10900633_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900634,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10900634/ERR10900634_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10900634/ERR10900634_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900635,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/035/ERR10900635/ERR10900635_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/035/ERR10900635/ERR10900635_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900639,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10900639/ERR10900639_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10900639/ERR10900639_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900640,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10900640/ERR10900640_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10900640/ERR10900640_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900641,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10900641/ERR10900641_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/041/ERR10900641/ERR10900641_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900643,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10900643/ERR10900643_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10900643/ERR10900643_2.fastq.gz,paired,wgs,illumina
