sample,accession,fastq_1,fastq_2
ERR10900587,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10900587/ERR10900587_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10900587/ERR10900587_2.fastq.gz
ERR10900588,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/088/ERR10900588/ERR10900588_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/088/ERR10900588/ERR10900588_2.fastq.gz
ERR10900589,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10900589/ERR10900589_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10900589/ERR10900589_2.fastq.gz
ERR10900590,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10900590/ERR10900590_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10900590/ERR10900590_2.fastq.gz
ERR10900591,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/091/ERR10900591/ERR10900591_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/091/ERR10900591/ERR10900591_2.fastq.gz
ERR10900592,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10900592/ERR10900592_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10900592/ERR10900592_2.fastq.gz
ERR10900593,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/093/ERR10900593/ERR10900593_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/093/ERR10900593/ERR10900593_2.fastq.gz
ERR10900594,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10900594/ERR10900594_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10900594/ERR10900594_2.fastq.gz
ERR10900598,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10900598/ERR10900598_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10900598/ERR10900598_2.fastq.gz
ERR10900600,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10900600/ERR10900600_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10900600/ERR10900600_2.fastq.gz
ERR10900602,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10900602/ERR10900602_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10900602/ERR10900602_2.fastq.gz
ERR10889174,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/074/ERR10889174/ERR10889174_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/074/ERR10889174/ERR10889174_2.fastq.gz
ERR10900604,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10900604/ERR10900604_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/004/ERR10900604/ERR10900604_2.fastq.gz
ERR10889182,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/082/ERR10889182/ERR10889182_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/082/ERR10889182/ERR10889182_2.fastq.gz
ERR10889185,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/085/ERR10889185/ERR10889185_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/085/ERR10889185/ERR10889185_2.fastq.gz
ERR10900606,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10900606/ERR10900606_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10900606/ERR10900606_2.fastq.gz
ERR10889186,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/086/ERR10889186/ERR10889186_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/086/ERR10889186/ERR10889186_2.fastq.gz
ERR10889191,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/091/ERR10889191/ERR10889191_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/091/ERR10889191/ERR10889191_2.fastq.gz
ERR10900610,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10900610/ERR10900610_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10900610/ERR10900610_2.fastq.gz
ERR10889192,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/092/ERR10889192/ERR10889192_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/092/ERR10889192/ERR10889192_2.fastq.gz
